Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual_Average,D-N,SUMMER,AUTUMN,WINTER,SPRING,5Year_Avg
1880.0,-0.2,-0.26,-0.09,-0.17,-0.1,-0.22,-0.21,-0.11,-0.16,-0.23,-0.23,-0.19,-0.18,-0.13333333333333333,-0.15333333333333332,-0.12,-0.18,-0.21,-0.18
1881.0,-0.2,-0.16,0.02,0.03,0.06,-0.19,-0.15333333333333335,-0.05,-0.16,-0.22,-0.19,-0.08,-0.1,-0.11,-0.18,0.04,-0.08,-0.19,-0.14
1882.0,0.15,0.13,0.04,-0.17,-0.14,-0.23,-0.17,-0.08,-0.15,-0.24,-0.17,-0.37,-0.12,-0.09,0.07,-0.09,-0.16,-0.19,-0.13333333333333333
1883.0,-0.3,-0.37,-0.13,-0.19,-0.18,-0.08,-0.08,-0.15,-0.23,-0.12,-0.24,-0.12,-0.18,-0.2,-0.35,-0.17,-0.1,-0.2,-0.145
1884.0,-0.13,-0.09,-0.37,-0.41,-0.34,-0.35,-0.31,-0.28,-0.28,-0.25,-0.34,-0.31,-0.29,-0.27,-0.11,-0.37,-0.32,-0.29,-0.174
1885.0,-0.59,-0.34,-0.27,-0.42,-0.46,-0.44,-0.34,-0.32,-0.29,-0.24,-0.24,-0.11,-0.34,-0.35,-0.41,-0.38,-0.37,-0.26,-0.20600000000000002
1886.0,-0.44,-0.51,-0.43,-0.28,-0.25,-0.35,-0.18,-0.31,-0.24,-0.28,-0.28,-0.26,-0.32,-0.31,-0.35,-0.32,-0.28,-0.27,-0.25
1887.0,-0.72,-0.57,-0.36,-0.35,-0.31,-0.25,-0.26,-0.36,-0.26,-0.36,-0.27,-0.33,-0.37,-0.36,-0.52,-0.34,-0.29,-0.3,-0.3
1888.0,-0.34,-0.36,-0.42,-0.21,-0.22,-0.17,-0.11,-0.16,-0.12,0.01,0.02,-0.04,-0.18,-0.2,-0.35,-0.28,-0.15,-0.03,-0.3
1889.0,-0.1,0.16,0.06,0.09,-0.02,-0.1,-0.08,-0.21,-0.24,-0.26,-0.34,-0.29,-0.11,-0.09,0.01,0.04,-0.13,-0.28,-0.26399999999999996
1890.0,-0.42,-0.45,-0.41,-0.3,-0.4,-0.25,-0.28,-0.4,-0.37,-0.25,-0.44,-0.32,-0.36,-0.36,-0.39,-0.37,-0.31,-0.35,-0.268
1891.0,-0.34,-0.47,-0.18,-0.28,-0.17,-0.21,-0.18,-0.18,-0.16,-0.22,-0.32,-0.04,-0.23,-0.25,-0.38,-0.21,-0.19,-0.23,-0.25
1892.0,-0.3,-0.12,-0.4,-0.34,-0.23,-0.22,-0.32,-0.27,-0.17,-0.14,-0.43,-0.4,-0.28,-0.25,-0.16,-0.32,-0.27,-0.25,-0.23200000000000004
1893.0,-0.81,-0.57,-0.23,-0.28,-0.34,-0.25,-0.14,-0.26,-0.23,-0.19,-0.19,-0.32,-0.32,-0.32,-0.59,-0.28,-0.22,-0.2,-0.26
1894.0,-0.53,-0.3,-0.24,-0.45,-0.32,-0.41,-0.24,-0.24,-0.28,-0.23,-0.27,-0.22,-0.31,-0.32,-0.38,-0.33,-0.3,-0.26,-0.3
1895.0,-0.42,-0.43,-0.33,-0.22,-0.28,-0.21,-0.17,-0.18,-0.13,-0.11,-0.18,-0.15,-0.23,-0.24,-0.36,-0.28,-0.19,-0.14,-0.274
